ticker,description,transaction_cost
AD,"AUSTRALIAN $$, day session",0.5
AN,"AUSTRALIAN $$, composite",0.5
AP,AUSTRALIAN PRICE INDEX,0.5
BC,"BRENT CRUDE OIL, composite",2
BG,"BRENT GASOIL, comp.",2
BN,"BRITISH POUND, composite",0.5
BO,SOYBEAN OIL,3
C_,CORN,3
CA,CAC40 INDEX,1
CB,CANADIAN 10YR BOND,0.5
CC,COCOA,3
CL,CRUDE OIL,2
CN,"CANADIAN $$, composite",0.5
CR,CRB FUTURES,1
CT,COTTON #2,3
DA,"MILK III, Comp.",3
DJ,"DOW JONES, day session",0.5
DT,EURO BOND (BUND),0.5
DX,US DOLLAR INDEX,0.5
EC,EURODOLLARS Composite,0.5
ED,EURODOLLARS,0.5
EN,"NASDAQ, MINI",0.5
ER,"RUSSELL 2000, MINI",0.5
ES,"S & P 500, MINI",0.5
FA,"T-NOTE, 5yr day session",0.5
FB,"T-NOTE, 5yr composite",0.5
FC,FEEDER CATTLE,3
FF,FED FUNDS,0.5
FN,"EURO, composite",0.5
FX,"EURO, day session",0.5
GC,GOLD (COMMEX),1
GI,GOLDMAN SAKS C. I.,1
GS,"GILT, LONG  BOND",0.5
HG,COPPER,3
HO,HEATING OIL #2,2
HS,HANG SENG,1
HU,UNLEADED GAS,2
JN,"JAPANESE YEN, composite",0.5
JO,ORANGE JUICE,3
JY,"JAPANESE YEN, day session",0.5
KC,COFFEE,3
KW,"WHEAT, KC",3
LB,LUMBER,3
LC,LIVE CATTLE,3
LH,LIVE HOGS,3
LX,FTSE 100 INDEX,1
MD,S&P 400 (Mini electronic),0.5
MP,MEXICAN PESO,2
MW,"WHEAT, MINN",3
ND,NASDAQ 100,0.5
NG,NATURAL GAS,2
NK,NIKKEI INDEX,1
NR,ROUGH RICE,3
O_,OATS,3
PA,PALLADIUM,3
PL,PLATINUM,3
RB,RBOB GASOLINE,2
RL,RUSSELL 2000,0.5
S_,SOYBEANS,3
SB,SUGAR #11,3
SC,"S & P 500, composite",0.5
SF,"SWISS FRANC, day session",0.5
SI,SILVER  (COMMEX),2
SM,SOYBEAN MEAL,3
SN,"SWISS FRANC, composite",0.5
SP,"S & P 500, day session",0.5
SS,"STERLING, SHORT",0.5
TA,"T-NOTE, 10yr day session",0.5
TD,"T-NOTES, 2yr day session",0.5
TU,"T-NOTES, 2yr composite",0.5
TY,"T-NOTE, 10yr composite",0.5
UA,"T-BONDS, day session",0.5
UB,EURO BOBL,0.5
US,"T-BONDS, composite",0.5
UZ,EURO SCHATZ,0.5
W_,"WHEAT, CBOT",3
AX,GERMAN DAX INDEX,1
XU,DOW JONES EUROSTOXX50,1
YM,Mini Dow Jones ($5.00),0.5
XX,DOW JONES STOXX 50,0.5
ZB,"RBOB, Electronic",2
ZD,"DOW JONES, composite",0.5
ZG,"GOLD, Electronic",1
ZI,"SILVER, Electronic",2
ZC,"CORN, Electronic",3
ZS,"SOYBEANS, Electronic",3
ZL,"SOYBEAN OIL, Electronic",3
ZO,"OATS, Electronic",3
ZM,"SOYBEAN MEAL, Electronic",3
ZR,"ROUGH RICE, Electronic",3
ZW,"WHEAT, Electronic",3
ZU,"CRUDE OIL, Electronic",2
ZH,"HEATING OIL, electronic",2
ZN,"NATURAL GAS, electronic",2
ZK,"COPPER, electronic",3
ZA,"PALLADIUM, electronic",3
ZP,"PLATINUM, electronic",3
ZF,"FEEDER CATTLE, Electronic",3
ZT,"LIVE CATTLE, Electronic",3
ZZ,"LEAN HOGS, Electronic",3
AUDCAD,AUDCAD,1
AUDCHF,AUDCHF,1
AUDJPY,AUDJPY,1
AUDNZD,AUDNZD,1.5
AUDSGD,AUDSGD,1.5
CADJPY,CADJPY,1
CHFCAD,CHFCAD,1
CHFJPY,CHFJPY,1
CHFSGD,CHFSGD,1.2
EURAUD,EURAUD,1
EURCAD,EURCAD,1
EURCHF,EURCHF,1
EURGBP,EURGBP,1
EURJPY,EURJPY,1
EURNZD,EURNZD,1.5
EURSEK,EURSEK,1
EURSGD,EURSGD,1.5
EURZAR,EURZAR,2
GBPAUD,GBPAUD,1
GBPCAD,GBPCAD,1
GBPCHF,GBPCHF,1
GBPJPY,GBPJPY,1
GBPMXN,GBPMXN,2.5
GBPNZD,GBPNZD,1.5
GBPSGD,GBPSGD,1.5
MXNEUR,MXNEUR,2.5
NOKUSD,NOKUSD,1
NZDJPY,NZDJPY,1
USDNZD,USDNZD,1
USDSEK,USDSEK,1
USDSGD,USDSGD,1
